"DPD Table Rates", "DPD Table Rates"
"Table Rates", "Table Rates"
"Enabled", "Enabled"
"DPD Country Select", "DPD Country Select"
"Production Mode", "Production Mode"
"Production WS URL", "Production WS URL"
"Test WS URL", "Test WS URL"
"Method Title", "Method Title"
"Method Name", "Method Name"
"Web Service Username", "Web Service Username"
"Web Service Password", "Web Service Password"
"Web Service Connection Timeout", "Web Service Connection Timeout"
"Set a timeout for connecting to the DPD web service in seconds.", "Set a timeout for connecting to the DPD web service in seconds."
"E.g. http://egproduction.dpd.com/IT4EMWebServices/eshop/", "E.g. http://egproduction.dpd.com/IT4EMWebServices/eshop/"
"E.g. http://egtest.dpd.com/IT4EMWebServices/eshop/", "E.g. http://egtest.dpd.com/IT4EMWebServices/eshop/"
"Sender Address Id", "Sender Address Id"
"Payer Id", "Payer Id"
"Service", "Service"
"Service PREDICT", "Service PREDICT"
"Select the services that have predict functionality.", "Select the services that have predict functionality."
"Select the services that you want to enable. Note that you must also define the shipping prices for these services in your shipping table rates (see below).", "Select the services that you want to enable. Note that you must also define the shipping prices for these services in your shipping table rates (see below)."
"Export Shipping Table Rates", "Export Shipping Table Rates"
"Import Shipping Table Rates", "Import Shipping Table Rates"
"DPD GeoPost Pickup Address", "DPD GeoPost Pickup Address"
"Name", "Name"
"Additional Name", "Additional Name"
"Street", "Street"
"City", "City"
"Postcode", "Postcode"
"Country", "Country"
"Telephone", "Telephone"
"Email Address", "Email Address"
"Cash On Delivery for DPD GeoPost", "Cash On Delivery for DPD GeoPost"
"Enabled", "Enabled"
"Title", "Title"
"Description", "Description"
"Surcharge Name", "Surcharge Name"
"New order status", "New order status"
"Service", "Service"
"Payment Type", "Payment Type"
"Payment from Applicable Countries", "Payment from Applicable Countries"
"Payment from Specific Countries", "Payment from Specific Countries"
"The new shipping address for shipments associated with this order have been communicated successfully to DPD.", "The new shipping address for shipments associated with this order have been communicated successfully to DPD."
"An error occurred updating the shipping address details with DPD: <br /> ""%1""", "An error occurred updating the shipping address details with DPD: <br /> ""%1"""
"DPD could not update the shipment address. The following error was returned: <br /> ""%1: %2""", "DPD could not update the shipment address. The following error was returned: <br /> ""%1: %2"""
"An error occurred retrieving the updated shipping labels from DPD. <br />""s%""", "An error occurred retrieving the updated shipping labels from DPD. <br />""s%"""
"The total length of the address cannot be more than %1 characters.", "The total length of the address cannot be more than %1 characters."
" incl. tax", " incl. VAT"
" excl. tax", " excl. VAT"
" Incl. tax", " Incl. VAT"
" Excl. tax", " Excl. VAT"
"(Excl.Tax)", "(Excl. VAT)"
"(Incl.Tax)", "(Incl. VAT)"
" (Excl. Tax)", " (Excl. VAT)"
" (Incl. Tax)", " (Incl. VAT)"
"Cash", "Cash"
"Credit Card", "Credit Card"
"Crossed Check", "Crossed Cheque"
"Free", "Free"
"Error obtaining shipping price: %1", "Error obtaining shipping price: %1"
"DPD error: %1", "DPD error: %1"
"Shipping price not available in order currency", "Shipping price not available in order currency"
"Could not load the stored tracking information for track %1", "Could not load the stored tracking information for track %1"
"Error loading stored tracking information for track %1", "Error loading stored tracking information for track %1"
"Error calling DPD for track %1", "Error calling DPD for track %1"
"Error calling DPD for track %1: %1 ", "Error calling DPD for track %1: %1 "
"Export CSV", "Export CSV"
"Manifest", "Manifest"
"DPD Pickup", "DPD Pickup"
"Country", "Country"
"Region/State", "Region/State"
"Zip/Postal Code", "Postcode"
"Shipping Price/Percentage", "Shipping Price/Percentage"
"Please the shipments to include in the closed manifest.", "Please the shipments to include in the closed manifest."
"Could not include shipment %1 in the manifest because it is not a DPD shipment.", "Could not include shipment %1 in the manifest because it is not a DPD shipment."
"Could not include shipment %1 in the manifest because it was not communicated to DPD.", "Could not include shipment %1 in the manifest because it was not communicated to DPD."
"Could not include shipment %1 in the manifest because it was cancelled with DPD.", "Could not include shipment %1 in the manifest because it was cancelled with DPD."
"Could not include shipment %1 in the manifest because it is already in a manifest.", "Could not include shipment %1 in the manifest because it is already in a manifest."
"The shipments you selected come from different stores which have different DPD connection parameters. Please select shipments which belong to stores that use the same DPD connection parameters.", "The shipments you selected come from different stores which have different DPD connection parameters. Please select shipments which belong to stores that use the same DPD connection parameters."
"Shipment %1 was added to the manifest.", "Shipment %1 was added to the manifest."
